"sim_binding_validation","SIM binding validation tracking event. Triggered when: 1) Device-SIM binding is validated against backend, 2) Security checks are performed on binding status, 3) Binding integrity is verified during transactions. Properties: validation_result (valid/invalid/expired), product_type (UPI/MINI/SLICE), check_type (transaction/periodic/manual), last_validation_time (timestamp). Purpose: Ensure binding security, monitor validation effectiveness, track security breach attempts. Screens: Security validation services, transaction flows. Scenarios: Transaction security checks, periodic validation, manual verification, security audits."
"mini_onboarding_started","Mini account onboarding initiation event. Triggered when: 1) User begins MINI savings account creation, 2) Quick onboarding flow is started from UPI, 3) Simplified account setup is initiated. Properties: source (upi/direct/referral), user_type (new/existing), has_existing_accounts (boolean), onboarding_version (v1/v2), flow_type (full/minimal). Purpose: Track mini account adoption, measure onboarding funnel effectiveness, optimize simplified flows. Screens: MiniOnboardingFragment, OnboardingViewModel. Scenarios: UPI-driven onboarding, direct account creation, referral-based signup."
"pan_enter_page_opened","PAN card entry screen access event. Triggered when: 1) PAN input screen is displayed during KYC, 2) Tax compliance verification begins, 3) Financial document collection is initiated. Properties: flow_type (kyc/tax/compliance), is_mandatory (boolean), source_screen (onboarding/profile/transaction), pre_fill_available (boolean). Purpose: Track KYC completion rates, monitor compliance requirements, optimize document collection UX. Screens: PANEntryFragment, KYCViewModel. Scenarios: Mandatory KYC during onboarding, tax compliance verification, account upgrade requirements."
"selfie_capture_initiated","Selfie capture process start event. Triggered when: 1) Camera is opened for selfie during KYC, 2) Face verification process begins, 3) Document verification requires selfie. Properties: capture_type (kyc/verification/update), camera_permission (granted/denied), quality_check_enabled (boolean), retry_count (int). Purpose: Track verification completion rates, monitor camera issues, optimize face recognition flows. Screens: SelfieFragment, BiometricViewModel. Scenarios: KYC selfie capture, face verification, document matching, retry attempts."
"spend_analytics_opened","Spend analysis screen access event. Triggered when: 1) User opens spending insights tab, 2) Monthly spend analysis is viewed, 3) Category-wise breakdown is accessed. Properties: analysis_period (monthly/quarterly/yearly), has_data (boolean), category_count (int), source (tab/notification/widget). Purpose: Track financial insights engagement, measure analytics feature adoption, understand user financial behavior. Screens: SpendAnalyticsFragment, AnalyticsViewModel. Scenarios: Regular spending review, category analysis, budget tracking, financial planning."
"account_switch_clicked","Account switching action event. Triggered when: 1) User switches between linked accounts, 2) Account selector is used in spend analysis, 3) Multi-account view is toggled. Properties: from_account (account_type), to_account (account_type), account_count (int), switch_reason (analysis/transaction/preference). Purpose: Track multi-account usage patterns, measure account preference, optimize account management UX. Screens: AccountSelectorBottomSheet, MultiAccountViewModel. Scenarios: Analysis account switching, transaction account selection, preference-based switching."
"category_analysis_viewed","Spending category analysis view event. Triggered when: 1) User drills down into specific spend categories, 2) Category-wise breakdown is opened, 3) Detailed category insights are accessed. Properties: category_name (string), spend_amount (amount), transaction_count (int), period (monthly/weekly), comparison_enabled (boolean). Purpose: Understand category-wise spending patterns, track insights engagement, optimize financial categorization. Screens: CategoryAnalysisFragment, SpendDetailsViewModel. Scenarios: Category deep-dive, spending pattern analysis, financial insights exploration."
"api_error_occurred","API failure tracking event. Triggered when: 1) Backend API calls fail with errors, 2) Network timeouts occur during requests, 3) Server errors impact user experience. Properties: api_endpoint (string), error_code (int), error_message (string), retry_count (int), request_duration_ms (long). Purpose: Monitor API reliability, track error patterns, identify backend issues for quick resolution. Screens: All API-dependent screens. Scenarios: Network failures, server errors, timeout issues, rate limiting."
"background_sync_completed","Background data synchronization event. Triggered when: 1) App syncs data while in background, 2) Periodic data refresh completes, 3) Real-time updates are processed. Properties: sync_type (periodic/realtime/manual), data_types (accounts/transactions/rewards), sync_duration_ms (long), records_synced (int). Purpose: Monitor sync reliability, optimize background performance, track data freshness. Screens: Background services, sync managers. Scenarios: Periodic sync, real-time updates, manual refresh, app foreground transitions."
"upi_universal_send_screen_open","UPI Send screen access event. Triggered when: 1) User opens UPI send money screen, 2) Universal send interface is displayed, 3) Payment initiation screen loads. Properties: account_type (bank/wallet), contact_permission_present (boolean), total_tiles (int), flow (send/request), is_send_v2 (boolean). Purpose: Track UPI send feature usage, monitor onboarding effectiveness, measure payment flow adoption. Screens: UPISendV2Fragment, SendFlowViewModel. Scenarios: Money transfer initiation, contact-based sending, QR-based payments."
"upi_proceed_to_pay","UPI payment initiation event. Triggered when: 1) User clicks proceed/pay button in UPI flow, 2) Payment authentication begins, 3) Transaction is submitted for processing. Properties: upi_transaction_type (account_type), payment_flow (send/scan/request), debit_source (account), beneficiary_checked (boolean), payment_auth_mode (pin/biometric), amount_bucket (range). Purpose: Track payment conversion rates, monitor authentication preferences, optimize payment UX. Screens: Payment confirmation screens, UPI flow ViewModels. Scenarios: Regular payments, QR transactions, beneficiary payments, repeat transactions."
"upi_transaction_completed","UPI transaction completion event. Triggered when: 1) UPI payment is successfully completed, 2) Transaction status is confirmed, 3) Payment receipt is generated. Properties: txn_status (success/failed/pending), amount (transaction_amount), payee_name (recipient), payee_vpa (UPI_ID), payment_flow (send/scan). Purpose: Track transaction success rates, monitor payment reliability, measure UPI adoption effectiveness. Screens: Transaction status screens, payment completion flows. Scenarios: Successful payments, failed transactions, pending status, payment confirmations."
"upi_qr_scan_initiated","UPI QR code scanning start event. Triggered when: 1) QR scanner camera is opened, 2) Payment QR scanning begins, 3) Intent-based QR processing starts. Properties: account_type (scanning_account), scan_source (camera/gallery), flash_enabled (boolean), scan_type (payment/merchant). Purpose: Track QR payment adoption, monitor scanning success rates, optimize QR recognition accuracy. Screens: QRScannerFragment, ScanViewModel. Scenarios: Merchant payments, P2P QR scanning, intent handling, quick payments."
"upi_scan_payment_details_opened","UPI scan payment details display event. Triggered when: 1) Payment details screen opens after QR scan, 2) Scanned merchant info is displayed, 3) Amount confirmation screen is shown. Properties: account_type (selected_account), debit_source (bank_name), amount_prepopulated (boolean), merchant_category (type). Purpose: Track QR scan success rates, monitor payment confirmation flow, optimize merchant payment UX. Screens: PaymentDetailsFragment, ScanPaymentViewModel. Scenarios: Merchant QR payments, amount confirmation, payment verification."
"transaction_loading_page_opened","Transaction status loading screen event. Triggered when: 1) Payment processing screen is displayed, 2) Transaction status is being fetched, 3) Loading state during payment confirmation. Properties: transaction_type (UPI/bank/wallet), flow (send/receive/request), estimated_time (seconds), retry_enabled (boolean). Purpose: Track payment processing times, monitor loading experience, optimize transaction feedback UX. Screens: TransactionLoadingFragment, StatusViewModel. Scenarios: Payment processing, status checking, retry scenarios."
"transaction_status_page_opened","Transaction status result screen event. Triggered when: 1) Final transaction status is displayed, 2) Payment success/failure screen opens, 3) Transaction receipt is shown. Properties: status (success/failed/pending), flow (payment_type), cta_options (share/done/retry), marketing_card_shown (boolean). Purpose: Track transaction outcomes, measure post-payment engagement, optimize result screen actions. Screens: TransactionStatusFragment, StatusResultViewModel. Scenarios: Payment completion, failure handling, receipt generation."
"transaction_done_clicked","Transaction completion action event. Triggered when: 1) User clicks Done button on transaction status, 2) Payment flow is completed and dismissed, 3) User returns to main app after payment. Properties: status (final_status), flow (payment_type), action (done/continue), time_spent (seconds). Purpose: Track payment flow completion, measure user satisfaction, optimize post-payment experience. Screens: Transaction status screens. Scenarios: Successful payment completion, failure acknowledgment, flow dismissal."
"borrow_enter_amount_page_opened","Borrow amount entry screen event. Triggered when: 1) User opens loan amount selection screen, 2) Credit limit utilization interface displays, 3) Borrowing flow is initiated. Properties: available_limit (amount), min_amount (amount), max_amount (amount), source (home/emergency/specific_need). Purpose: Track borrowing feature adoption, monitor credit utilization patterns, optimize lending UX. Screens: BorrowAmountFragment, BorrowViewModel. Scenarios: Credit access, emergency borrowing, planned expenses."
"borrow_enter_amount_continue_clicked","Borrow amount confirmation event. Triggered when: 1) User confirms borrowing amount, 2) Proceeds to loan terms screen, 3) Amount validation passes. Properties: selected_amount (amount), available_limit (amount), utilization_percentage (percentage), purpose (emergency/purchase/bill). Purpose: Track borrowing behavior, measure amount selection patterns, monitor credit demand. Screens: Amount confirmation flows. Scenarios: Amount confirmation, terms acceptance, credit utilization."
"borrow_details_page_opened","Loan details screen access event. Triggered when: 1) Borrowing terms and conditions screen opens, 2) Loan agreement details are displayed, 3) Interest rate and terms are shown. Properties: loan_amount (amount), interest_rate (percentage), tenure (months), emi_amount (amount). Purpose: Track lending transparency, monitor terms acceptance rates, optimize loan disclosure UX. Screens: BorrowDetailsFragment, LoanTermsViewModel. Scenarios: Terms review, loan agreement, interest calculation."
"borrow_details_confirm_clicked","Loan terms acceptance event. Triggered when: 1) User accepts loan terms and conditions, 2) Borrowing agreement is confirmed, 3) Loan disbursement is initiated. Properties: loan_amount (amount), terms_accepted (boolean), digital_signature (boolean), disbursement_method (bank/wallet). Purpose: Track lending conversion rates, monitor legal compliance, measure loan acceptance patterns. Screens: Terms confirmation screens. Scenarios: Loan acceptance, agreement confirmation, disbursement initiation."
"payment_bottomsheet_opened","Payment method selection event. Triggered when: 1) Payment options bottomsheet is displayed, 2) Account selection for payments opens, 3) Payment mode picker is shown. Properties: available_accounts (count), default_account (type), payment_type (UPI/bank/wallet), source_flow (send/borrow/bill). Purpose: Track payment method preferences, optimize account selection UX, monitor payment funnel. Screens: PaymentBottomSheet, PaymentSelectorViewModel. Scenarios: Payment method selection, account switching, payment options."
"app_permissions_page_opened","App permissions request screen event. Triggered when: 1) Permission request screen is displayed, 2) System permissions are required for features, 3) Mandatory permissions flow begins. Properties: permission_type (camera/location/contacts/sms), flow (onboarding/feature_access), is_mandatory (boolean), retry_count (int). Purpose: Track permission grant rates, monitor feature adoption blockers, optimize permission UX. Screens: PermissionsFragment, PermissionViewModel. Scenarios: Initial setup, feature access, permission recovery."
"permissions_popup_opened","System permission dialog event. Triggered when: 1) Native system permission dialog is shown, 2) Runtime permission is requested, 3) Permission grant/deny choice is presented. Properties: permission_type (specific_permission), previous_denied (boolean), app_context (feature_name), flow_stage (onboarding/usage). Purpose: Track system permission success rates, monitor user trust patterns, optimize permission timing. Screens: System permission dialogs. Scenarios: First-time requests, re-permission, critical feature access."
"purple_ba_bottomsheet_open","Bank account selection bottomsheet event. Triggered when: 1) Account selection bottomsheet opens during payments, 2) Bank account picker is displayed, 3) Source account selection for transactions. Properties: available_accounts (list), pre_selected_account (type), payment_flow (send/scan), force_selection_reason (string). Purpose: Track account selection patterns, monitor multi-account usage, optimize payment source selection. Screens: AccountSelectionBottomSheet. Scenarios: Payment account selection, account switching, forced account selection."
"bottomsheet_cta_clicked","Bottomsheet action button event. Triggered when: 1) Action buttons in bottomsheets are clicked, 2) User interactions with modal dialogs, 3) Confirmation actions in overlays. Properties: flow (bottomsheet_context), cta_type (primary/secondary), action_taken (continue/cancel/select), source_screen (parent_screen). Purpose: Track bottomsheet engagement, monitor user decision patterns, optimize modal UX design. Screens: Various bottomsheet components. Scenarios: Action confirmations, selections, dismissals."
"hns_icon_purple_screen_clicked","Help and Support icon click event. Triggered when: 1) Help icon is clicked from payment screens, 2) Support access during transactions, 3) User seeks help during payment flows. Properties: flow (payment_context), screen_type (send/scan/status), current_step (amount/confirmation/processing). Purpose: Track support needs during payments, identify user confusion points, optimize help accessibility. Screens: Payment flow screens with HNS integration. Scenarios: Payment assistance, transaction help, process guidance."
"upi_cl_triggered","UPI Common Library (CL) activation event. Triggered when: 1) NPCI Common Library is initialized for payments, 2) Secure payment processing begins, 3) CL-based authentication is triggered. Properties: controls (security_config), source (payment_trigger), after_cl (processing_stage), salt/trust (security_params). Purpose: Monitor secure payment processing, track CL integration effectiveness, ensure payment security compliance. Screens: Secure payment processing layers. Scenarios: High-value payments, secure authentication, regulatory compliance."
"tpap_logger","Third Party App Provider (TPAP) logging event. Triggered when: 1) TPAP integration issues occur, 2) Payment processing errors need tracking, 3) Third-party payment failures require logging. Properties: message (error_description), type (error_type), code (error_code), throwable (exception_details). Purpose: Monitor third-party payment reliability, track integration issues, debug payment processing problems. Screens: TPAP integration layers. Scenarios: Payment processing errors, integration failures, debugging scenarios."
"op_vcip_land","Video KYC initiation event. Triggered when: 1) Video KYC landing screen is displayed, 2) User enters video verification flow, 3) VCIP (Video Customer Identification Process) begins. Properties: module (VCIP/DIGIO), state (landing/connecting), flow_type (onboarding/verification), product (account_type). Purpose: Track video KYC adoption, monitor verification completion rates, optimize video onboarding UX. Screens: VideoKYCFragment, VKYCViewModel. Scenarios: New user verification, compliance requirements, identity validation."
"op_vcip_cq_test","Video KYC connection quality test event. Triggered when: 1) Pre-call network connectivity test begins, 2) Camera and audio quality checks are performed, 3) System readiness verification starts. Properties: internet_check_end_type (started/finished), connection_quality (good/poor), test_duration_ms (long). Purpose: Monitor technical readiness for video calls, track connection issues, optimize pre-call experience. Screens: Connection test screens. Scenarios: Pre-call setup, quality checks, technical validation."
"op_vcip_action_cta","Video KYC action button event. Triggered when: 1) User clicks action buttons during video KYC, 2) CTA interactions in video flow, 3) Navigation actions within VCIP. Properties: cta_action (primary/secondary), cta_type (continue/retry/skip), module_type (selfie/PAN/OTP), screen (current_context). Purpose: Track user engagement in video KYC, monitor flow completion patterns, optimize action placement. Screens: Video KYC action screens. Scenarios: Flow progression, retry attempts, skip actions."
"activity_centre_clicked","Activity center access event. Triggered when: 1) User opens activity center from navigation, 2) Transaction history view is accessed, 3) Activity insights tab is selected. Properties: source (tab/notification/widget), has_data (boolean), filter_applied (boolean), view_type (list/grid). Purpose: Track activity center engagement, monitor transaction review patterns, optimize transaction management UX. Screens: ActivityCenterFragment, AvcViewModel. Scenarios: Regular transaction review, activity exploration, financial tracking."
"activity_centre_search_clicked","Activity center search initiation event. Triggered when: 1) Search icon is clicked in activity center, 2) Transaction search functionality is accessed, 3) Activity filtering begins. Properties: has_recent_searches (boolean), filter_type (amount/date/category), search_context (transaction/activity). Purpose: Track search feature usage, monitor transaction discovery patterns, optimize search functionality. Screens: Activity center search. Scenarios: Transaction lookup, activity filtering, financial search."
"activity_centre_search","Activity center search execution event. Triggered when: 1) Search query is executed in activity center, 2) Search results are displayed, 3) Activity filtering is applied. Properties: search_result (boolean), query_length (int), result_count (int), search_type (text/filter). Purpose: Monitor search effectiveness, track result quality, optimize search algorithms. Screens: Search results. Scenarios: Successful searches, empty results, refined queries."
"avc_page_loaded","Activity center page load completion event. Triggered when: 1) Activity center page finishes loading, 2) Transaction data is successfully fetched, 3) UI rendering is complete. Properties: autopay_shown (boolean), load_time_ms (long), data_source (cache/network), error_count (int). Purpose: Monitor page performance, track loading success rates, optimize data fetching. Screens: ActivityCenterFragment load completion. Scenarios: Initial load, refresh operations, cache hits."
"physical_card_booking_screen_open","Physical card booking screen access event. Triggered when: 1) Card booking interface is opened, 2) Physical card ordering flow begins, 3) Card management section accessed. Properties: flow (card_booking), card_type (debit/credit), user_eligibility (eligible/not_eligible), existing_cards (count). Purpose: Track card ordering adoption, monitor eligibility impact, optimize card management UX. Screens: CardBookingFragment, CardBookingViewModel. Scenarios: New card orders, replacement requests, card upgrades."
"physical_card_booking_screen_action","Physical card booking action event. Triggered when: 1) User takes actions on card booking screen, 2) Order placement buttons are clicked, 3) Card customization options selected. Properties: flow (card_booking), action (order/edit_address/customize), card_type (debit/credit), selection_made (boolean). Purpose: Track booking conversion rates, monitor user preferences, optimize ordering flow. Screens: Card booking action screens. Scenarios: Order completion, address editing, card customization."
"card_settings_home","Card settings main screen event. Triggered when: 1) Card management home screen opens, 2) Card details view is accessed, 3) Settings options are displayed. Properties: card_type (debit/credit), card_state (active/blocked/expired), available_options (count), user_permissions (list). Purpose: Track card management usage, monitor settings access patterns, optimize card control UX. Screens: CardSettingsFragment, CardDetailViewModel. Scenarios: Card management access, settings exploration, control preferences."
"card_number_copy_clicked","Card number copy action event. Triggered when: 1) User copies card number to clipboard, 2) Card details copy functionality used, 3) Quick access to card information. Properties: card_type (debit/credit), copy_source (full_number/masked), user_authenticated (boolean), copy_method (button/long_press). Purpose: Track card detail access patterns, monitor security usage, optimize information access. Screens: Card details screens. Scenarios: Card number sharing, payment form filling, reference copying."
"bbps_home_opened","BBPS (Bill Payment) home screen event. Triggered when: 1) Bill payment section is opened, 2) BBPS interface is accessed, 3) Utility payment flow begins. Properties: source (navigation/deeplink), red_dot_billers (list), number_of_banner (int), highlighted_categories (list). Purpose: Track bill payment adoption, monitor category preferences, optimize payment discovery. Screens: BBPSHomeFragment, BillPaymentViewModel. Scenarios: Regular bill payments, new service discovery, payment exploration."
"bbps_option_clicked","BBPS category selection event. Triggered when: 1) Bill payment category is selected, 2) Service type is chosen, 3) Payment category navigation occurs. Properties: selection_category (electricity/gas/water/mobile), source (grid/search/banner), category_rank (int), user_history (boolean). Purpose: Track category preferences, monitor service popularity, optimize category arrangement. Screens: BBPS category selection. Scenarios: Utility selection, service discovery, payment initiation."
"bbps_search_screen_opened","BBPS provider search screen event. Triggered when: 1) Service provider search is opened, 2) Biller listing screen displays, 3) Provider selection interface loads. Properties: selection_category (service_type), provider_count (int), has_recent_providers (boolean), search_enabled (boolean). Purpose: Track provider discovery patterns, monitor search usage, optimize provider selection UX. Screens: Provider search/listing screens. Scenarios: Provider discovery, service selection, biller search."
"bbps_enter_details_page_opened","BBPS details entry screen event. Triggered when: 1) Bill payment details form opens, 2) Account/meter number entry screen displays, 3) Service identifier input begins. Properties: selection_category (service_type), selected_vendor (provider_name), form_fields (count), validation_enabled (boolean). Purpose: Track form engagement, monitor completion rates, optimize data entry UX. Screens: Bill details entry forms. Scenarios: Account number entry, meter ID input, service details."
"bbps_bill_details_page_opened","BBPS bill summary screen event. Triggered when: 1) Bill details/summary screen opens, 2) Payment amount confirmation displays, 3) Bill information review begins. Properties: selection_category (service_type), selected_vendor (provider), bill_amount (amount), payment_due_date (date). Purpose: Track bill review patterns, monitor payment confirmation rates, optimize summary UX. Screens: Bill summary/details screens. Scenarios: Bill review, amount confirmation, payment preparation."
"spend_analytics_launch","Spend analytics access event. Triggered when: 1) Spending insights feature is opened, 2) Financial analytics screen loads, 3) Expense analysis begins. Properties: flow (icon/explore/bottomsheet), source (navigation/notification), has_transaction_data (boolean), analysis_period (default_range). Purpose: Track analytics feature adoption, monitor insights engagement, optimize financial analysis UX. Screens: SpendAnalyticsFragment from various entry points. Scenarios: Regular spending review, financial insights access, budget analysis."
"spend_analytics_page_open","Spend analytics screen load event. Triggered when: 1) Spend analytics interface fully loads, 2) Financial data visualization displays, 3) Analysis charts render successfully. Properties: flow (entry_method), load_time_ms (long), data_availability (boolean), account_count (int). Purpose: Monitor analytics performance, track data loading success, optimize visualization rendering. Screens: Spend analytics main screen. Scenarios: Analytics loading, data visualization, performance tracking."
"spend_analytics_edit_category_click","Spend category editing event. Triggered when: 1) User edits transaction categories, 2) Category assignment is modified, 3) Spending categorization is updated. Properties: category (current_category), page (analytics_context), old_category (previous), new_category (selected). Purpose: Track categorization engagement, monitor category accuracy, optimize expense classification. Screens: Category editing interfaces. Scenarios: Category corrections, expense organization, spending classification."
"upi_note_entered","UPI transaction note entry event. Triggered when: 1) User adds notes to UPI payments, 2) Transaction descriptions are entered, 3) Payment references are added. Properties: flow (send/request), note_type (text/number/alphanumeric), note_length (character_count), is_user_send_v2 (boolean). Purpose: Track note usage patterns, monitor transaction documentation, optimize note entry UX. Screens: UPI send/request note entry. Scenarios: Payment descriptions, transaction references, personal notes."
"upi_qr_set_amount_proceed","UPI QR amount setting event. Triggered when: 1) Amount is set for QR code generation, 2) Dynamic QR creation with amount, 3) Merchant QR amount configuration. Properties: amount_str (formatted_amount), user_action (proceed/edit), qr_type (dynamic/static). Purpose: Track QR payment patterns, monitor amount setting behavior, optimize QR generation flow. Screens: QR amount setting screens. Scenarios: Merchant QR creation, dynamic amount setting, payment QR generation."
"edit_vpa_bottomsheet_opened","VPA (Virtual Payment Address) editing event. Triggered when: 1) VPA edit bottomsheet opens, 2) UPI ID modification interface displays, 3) Payment address customization begins. Properties: current_vpa (masked), edit_reason (customization/correction), vpa_count (available_options). Purpose: Track VPA customization usage, monitor personalization preferences, optimize VPA management UX. Screens: VPA editing bottomsheet. Scenarios: UPI ID personalization, address corrections, payment identity management."
"edit_vpa_successful","VPA editing completion event. Triggered when: 1) VPA edit operation succeeds, 2) UPI ID update is confirmed, 3) Payment address change is processed. Properties: old_vpa (previous_address), new_vpa (updated_address), edit_type (handle/suffix), validation_success (boolean). Purpose: Track VPA change success rates, monitor address preferences, measure customization completion. Screens: VPA edit success confirmation. Scenarios: Successful VPA updates, address personalization completion, identity customization."
"sa_homepage_open","Savings account homepage access event. Triggered when: 1) User opens savings account main screen, 2) Banking home interface loads, 3) Account dashboard is displayed. Properties: load_time (seconds), source (navigation/deeplink), account_balance (range), has_deposits (boolean). Purpose: Track banking feature engagement, monitor account access patterns, optimize financial dashboard UX. Screens: SavingsBankViewModel, Banking home screens. Scenarios: Regular account checking, balance review, financial management."
"sa_details_page_open","Savings account details page event. Triggered when: 1) Account details screen opens, 2) Detailed savings information is accessed, 3) Account breakdown view loads. Properties: account_type (savings/current), balance_visible (boolean), transaction_count (int), load_time (seconds). Purpose: Track detailed account engagement, monitor information access patterns, optimize account details UX. Screens: Account details screens. Scenarios: Account information review, transaction history access, detailed financial view."
"balance_rotation_completed","Balance display animation completion event. Triggered when: 1) Account balance rotation animation finishes, 2) Balance reveal animation completes, 3) Animated balance display ends. Properties: rotation_duration (milliseconds), animation_type (fade/slide/rotate), user_interaction (boolean). Purpose: Track UI animation performance, monitor user engagement with balance displays, optimize animation timing. Screens: Balance display components. Scenarios: Balance reveal animations, account switching animations, UI transitions."
"keypad_open","Banking keypad display event. Triggered when: 1) Numeric keypad opens for amount entry, 2) Deposit amount input begins, 3) Financial input interface displays. Properties: flow (deposit_standard/deposit_custom), amount (entered_amount), input_type (deposit/transfer/payment). Purpose: Track input method usage, monitor amount entry patterns, optimize financial input UX. Screens: Deposit entry, amount input screens. Scenarios: Deposit amount entry, custom amount input, financial calculations."
"keypad_closed","Banking keypad dismissal event. Triggered when: 1) Numeric keypad is closed after input, 2) Amount entry is completed, 3) Financial input interface is dismissed. Properties: flow (deposit_type), amount (final_amount), input_completed (boolean), time_spent (seconds). Purpose: Track input completion patterns, monitor entry success rates, optimize input flow efficiency. Screens: Amount entry completion. Scenarios: Successful amount entry, input cancellation, keypad dismissal."
"perf_deposit_creation_time","Deposit creation performance tracking event. Triggered when: 1) Fixed deposit creation process completes, 2) Deposit transaction finishes processing, 3) Investment creation workflow ends. Properties: time_taken (milliseconds), transaction_status (success/failed), deposit_amount (amount), creation_method (standard/custom). Purpose: Monitor deposit creation performance, track transaction processing times, optimize investment workflow efficiency. Screens: Deposit creation process. Scenarios: FD creation completion, investment processing, transaction timing analysis."
"passbook_page_open","Banking passbook screen access event. Triggered when: 1) Transaction history passbook opens, 2) Account statement view loads, 3) Transaction record interface displays. Properties: date_range_selected (period), load_time (seconds), source (navigation/deeplink), transaction_count (int). Purpose: Track passbook usage patterns, monitor transaction history engagement, optimize statement viewing experience. Screens: PassbookViewModel, transaction history screens. Scenarios: Transaction history review, statement access, financial record viewing."
"passbook_download_back_clicked","Passbook download cancellation event. Triggered when: 1) User cancels passbook download, 2) Back button pressed during PDF generation, 3) Download process is interrupted. Properties: download_progress (percentage), file_size (bytes), cancellation_reason (user/error/timeout). Purpose: Track download cancellation patterns, monitor user behavior during file generation, optimize download experience. Screens: Document download screens. Scenarios: Download interruption, user cancellation, process termination."
"toast_message","Banking module toast notification event. Triggered when: 1) Success/error messages are displayed, 2) User feedback notifications appear, 3) System messages are shown. Properties: message (notification_text), screen (current_context), response_time (milliseconds), status (success/error/warning). Purpose: Track user notification patterns, monitor message effectiveness, optimize feedback communication. Screens: All banking screens with notifications. Scenarios: Transaction confirmations, error notifications, success messages."
"nominee_page_cta_clicked","Nominee management action event. Triggered when: 1) Nominee details are submitted, 2) Guardian information is added, 3) Beneficiary management actions are taken. Properties: cta_clicked (action_type), details_filled (boolean), flow (deposit/savings/nominee), screen (nominee/guardian). Purpose: Track nominee management engagement, monitor beneficiary setup completion, optimize nominee flow UX. Screens: Nominee management screens, guardian details forms. Scenarios: Nominee addition, guardian setup, beneficiary management."
"op_land","Onboarding platform screen access event. Triggered when: 1) Platform onboarding screen opens, 2) Multi-step onboarding interface loads, 3) User enters onboarding flow. Properties: module (onboarding_module), module_index (step_number), flow (onboarding_type), product (slice/banking/upi), screen (screen_name). Purpose: Track onboarding progression, monitor step completion rates, optimize user onboarding experience. Screens: Platform onboarding screens. Scenarios: Initial onboarding, step navigation, flow progression."
"op_cta_action","Onboarding platform CTA interaction event. Triggered when: 1) Continue buttons are clicked in onboarding, 2) Action buttons are pressed during setup, 3) Navigation CTAs are selected. Properties: cta_action (click/tap), cta_type (primary/secondary), cta_text (button_text), screen (current_step), flow (onboarding_flow). Purpose: Track CTA engagement in onboarding, monitor button interaction patterns, optimize action placement and design. Screens: Onboarding CTA interactions. Scenarios: Step progression, action confirmation, navigation decisions."
"op_type","Onboarding input action event. Triggered when: 1) User types in onboarding forms, 2) Text input occurs during setup, 3) Data entry happens in onboarding fields. Properties: input_name (field_name), module (onboarding_step), screen (current_screen), input_type (text/number/selection). Purpose: Track input engagement during onboarding, monitor form completion patterns, optimize data collection UX. Screens: Onboarding input forms. Scenarios: Form filling, data entry, information collection."
"op_back","Onboarding back navigation event. Triggered when: 1) User navigates back in onboarding flow, 2) Previous step is accessed, 3) Onboarding regression occurs. Properties: back_type (system/user), screen (current_step), flow (onboarding_type), step_direction (backward). Purpose: Track onboarding flow patterns, monitor user navigation behavior, identify potential UX friction points. Screens: Onboarding navigation. Scenarios: Step regression, flow reversal, navigation patterns."
"op_missing_data","Onboarding missing data tracking event. Triggered when: 1) Required information is missing during onboarding, 2) Incomplete data is detected in setup, 3) Validation failures occur. Properties: message (missing_data_type), screen (current_step), module (onboarding_section), data_type (personal/financial/verification). Purpose: Track data completion issues, monitor onboarding friction points, optimize form validation and data collection. Screens: Onboarding validation screens. Scenarios: Missing information, validation errors, incomplete data."
"onboarding_started","Platform onboarding initiation event. Triggered when: 1) User begins onboarding process, 2) Setup flow is initiated, 3) Account creation starts. Properties: source (entry_point), flow_type (full/mini/express), product (target_product), user_type (new/existing). Purpose: Track onboarding adoption, monitor entry point effectiveness, analyze user onboarding patterns. Screens: Onboarding entry points. Scenarios: New user onboarding, account setup initiation, product onboarding."
"mini_onboarding_welcome_page_open","Mini onboarding welcome screen event. Triggered when: 1) Mini account onboarding welcome page opens, 2) Simplified signup flow begins, 3) Quick account setup starts. Properties: mini_version (onboarding_version), source (upi/direct), user_type (teen/adult), flow (mini_onboarding). Purpose: Track mini account adoption, monitor simplified onboarding effectiveness, optimize quick setup flows. Screens: Mini onboarding welcome. Scenarios: Quick account creation, simplified signup, mini account setup."
"sa_enter_pan_page_opened","PAN entry screen in savings account flow event. Triggered when: 1) PAN input screen opens during account setup, 2) Tax information collection begins, 3) Identity verification step starts. Properties: flow (savings_account), source (onboarding/kyc), pre_fill_available (boolean), validation_enabled (boolean). Purpose: Track PAN collection in banking flows, monitor identity verification completion, optimize tax compliance UX. Screens: PAN entry in banking. Scenarios: Account opening PAN entry, tax verification, identity collection."
"sa_enter_pan_continue_clicked","PAN entry continuation in savings flow event. Triggered when: 1) User continues after entering PAN, 2) PAN validation passes, 3) Tax information is confirmed. Properties: continue_type (manual/auto_fetch), pan_status (valid/invalid), flow (savings_account), validation_success (boolean). Purpose: Track PAN entry success rates, monitor validation effectiveness, optimize tax information collection. Screens: PAN confirmation. Scenarios: Successful PAN entry, validation completion, tax verification success."
